id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
32;916;Land use;Land use;Natural Capital;Land and Ecosystems;Land;Here and now, Later;;System Condition;Lenght;Neighborhood;Within Planetary Boundaries;5_EVMRA;Environmental
36;917;Air Ozone layer depletion;Air Ozone layer depletion;Natural Capital;Climate;Ozone depleting substances;Here and now, Later, Elsewhere;Tactical;Value Creation ;Mass;National;Within Planetary Boundaries;4_Stadsdonut;Environmental
30;918;Water quality;Water quality;Natural Capital;Water;Water quality;Later, Elsewhere;;;;;Within Planetary Boundaries;9_SDGs;Environmental
7;919;Share recycling;Share of recycling;Natural Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Strategic;Resource Flow;Mass;;Within Planetary Boundaries;3_ACM;Environmental
265;920;Percentage of schools participating in school garden program;Percentage of schools participating in school garden program;Human Capital;Education;Knowledge of sustainable development;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Economic
41;921;Excessive fertilizer use;Pollution of water with excess fertilizers;Natural Capital;Water;Emissions to water;Here and Now, Elsewhere;Tactical;Adverse Outcome;Amount substance;National;Within Planetary Boundaries;4_Stadsdonut;Environmental
172;922;Total amount of new non-renewable material use in Amsterdam;Total amount of new non-renewable material use in Amsterdam;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
23;923;CO2 emissions - Port;CO2 emissions - Port;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;City;Within Planetary Boundaries;7_Klimaat;Environmental
66;924;Installed solar panels;Total installed capacity of solar panels;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Electric current;;Within Planetary Boundaries;1_StaatVDS;Environmental
3;925;Ground Fulfillment;Ground Fulfillment;Economic Capital;Non-Energy Resources;Resources;Here and now;Strategic;Value Creation ;Monetary;;Within Planetary Boundaries;3_ACM;Economic
68;926;Housing natural-gas free;Housing stock with natural-gas free;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Units;;Within Planetary Boundaries;1_StaatVDS;Environmental
75;927;Raw solid mineral fuels;Consumption of raw solid mineral fuels;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Within Planetary Boundaries;1_StaatVDS;Environmental
27;928;Fauna freshwater;Fauna of freshwater and swamp;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now, Later;;System Condition;Index;;Within Planetary Boundaries;6_RMBW;Environmental
6;929;VvE supported;VvE supported;Quality of Life;Housing;Investments in housing;Here and now;;Value Creation ;Population;City;Within Planetary Boundaries;7_Klimaat;Social
64;930;Greenhouse gas footprint;Greenhouse gas footprint;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;;Within Planetary Boundaries;6_RMBW;Environmental
40;931;Livestock footprint;Livestock footprint;Natural Capital;Land and Ecosystems;Footprint;Here and now, Later;;Adverse Outcome;Lenght;;Within Planetary Boundaries;4_Stadsdonut;Environmental
174;932;Share of storage capacity in port area deployed for renewable fuels;Share of storage capacity in port area deployed for renewable fuels;Economic Capital;Physical Capital;Infrastructure;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Economic
173;933;Share of total Port of Amsterdam (HbA) revenue not related to fossil fuels;Share of total Port of Amsterdam (HbA) revenue not related to fossil fuels;Economic Capital;Consumption and Income;Distribution-Income;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Economic
10;934;Share of renewable energy per capita;Share of renewable energy per capita;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;City;Within Planetary Boundaries;2_BWMRA;Environmental
1;935;DMI;DMI;Economic Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Strategic;Resource Flow;Mass;;Within Planetary Boundaries;3_ACM;Economic
5;936;Percent demographic pressure;Percent demographic pressure;Quality of Life;Labour;Demographic changes;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Economic
134;937;Number of m2 of plantings replaced or renovated annually as part of green space preservation.;Number of m2 of plantings replaced or renovated annually as part of green space preservation.;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now, Later;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
28;938;Medium voltage areas;Medium voltage areas;Economic Capital;Physical Capital;Capital stock;Here and now;;System Condition;Electric current;City;Within Planetary Boundaries;7_Klimaat;Economic
109;939;Nature per capita;Nature per capita;Natural Capital;Land and Ecosystems;Land use;Here and now, Later;;;;;Within Planetary Boundaries;9_SDGs;Environmental
5;940;Reduction CO2-House Association;Reduction CO2-Housing Associations;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Value Creation ;Mass;City;Within Planetary Boundaries;7_Klimaat;Environmental
93;941;Electric car ownership;Electric car ownership;Quality of Life;Transport;Transport;Here and now, Later;;;;City;Within Planetary Boundaries;1_StaatVDS;Social
43;942;Supported households in making homes sustainable;Number of addresses supported;Quality of Life;Housing;Subjective-Quality housing;Here and now, Later;;;;;Within Planetary Boundaries;10_DBoom;Social
17;943;Share of renewable energy;Share of renewable energy;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;City;Within Planetary Boundaries;2_BWMRA;Environmental
63;944;Commodity footprint;Commodity footprint;Natural Capital;Climate;Footprint;Elsewhere;;Adverse Outcome;Mass;;Within Planetary Boundaries;6_RMBW;Environmental
88;945;Separation household waste;Separation household waste;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;;Within Planetary Boundaries;9_SDGs;Environmental
115;946;Number of tons of drift and bulky waste removed;Number of tons of drift and bulky waste removed;Natural Capital;Non-Energy Resources;Waste;Here and Now, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
38;947;Agriculture footprint;Agriculture footprint;Natural Capital;Land and Ecosystems;Footprint;Here and now, Later;;Adverse Outcome;Lenght;;Within Planetary Boundaries;4_Stadsdonut;Environmental
11;948;Trips bicyle;Trips bicyle;Quality of Life;Transport;Transport;Here and now;;System Condition;Index;;Within Planetary Boundaries;4_Stadsdonut;Social
73;949;Raw metal residues;Consumption of raw metal residues;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Within Planetary Boundaries;1_StaatVDS;Environmental
105;950;Share of homes with solar panels;Share of homes with solar panels;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Within Planetary Boundaries;9_SDGs;Environmental
72;951;Raw metals semi-finished prod.;Consumption of raw metals, metal semi-finished products;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Within Planetary Boundaries;1_StaatVDS;Environmental
97;952;Satisfaction (very and fairly satisfied) among container adopters;Satisfaction (very and fairly satisfied) among container adopters;Natural Capital;Non-Energy Resources;Waste;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
79;953;Reduce proportion of heavy vehicles (maximum mass over 30 tons) relative to all vans and trucks in the ZZV per year within the S100;Reduce proportion of heavy vehicles (maximum mass over 30 tons) relative to all vans and trucks in the ZZV per year within the S100;Quality of Life;Transport;Transport;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Social
64;954;CO2 Emissions;CO2 Emissions;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;;Within Planetary Boundaries;1_StaatVDS;Environmental
42;955;Water Fresh abstraction;Water Fresh water abstraction;Natural Capital;Water;Abstraction;Here and now, Later, Elsewhere;Tactical;Resource Flow;Volume;National;Within Planetary Boundaries;4_Stadsdonut;Environmental
18;956;Solar energy gen.;Solar energy generation;Economic Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Population;City;Within Planetary Boundaries;7_Klimaat;Economic
51;957;CO2 emissions North Sea;Co2 emissions - North Sea;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;City;Within Planetary Boundaries;5_EVMRA;Environmental
41;958;Groundwater extraction;Groundwater extraction;Natural Capital;Water;Abstraction;Here and now, Later;;System Condition;Unit per capita;;Within Planetary Boundaries;6_RMBW;Environmental
55;959;Attitude on renewable energy;Share of Amsterdam residents who say switch to renewable energy a good thing;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
57;960;Additional installed wind power;Total additional installed wind power capacity on Amsterdam territory;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
101;961;Percentage of recycled stream per resident per year relative to total household waste volume;Percentage of recycled stream per resident per year relative to total household waste volume;Natural Capital;Non-Energy Resources;Waste;Here and now, Later;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
72;962;Renewable energy;Renewable energy;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Resource Flow;Electric current;;Within Planetary Boundaries;6_RMBW;Environmental
4;963;Gas free-investment;Natural gas free-investment;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Resource Flow;Population;Neighborhood;Within Planetary Boundaries;7_Klimaat;Environmental
9;964;Waste treated;Volume of waste treated;Economic Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Strategic;Resource Flow;Mass;;Within Planetary Boundaries;3_ACM;Economic
83;965;Air quality;Air quality;Natural Capital;Air Quality;Particulate matter concentration;Here and Now, Elsewhere;;;;;Within Planetary Boundaries;9_SDGs;Environmental
102;966;Materials transport modes Non-Energy;Materials per mode of transport-Non-Energy Resources;Natural Capital;Energy Resources;Consumption;Here and now;;Resource Flow;Mass;City;Within Planetary Boundaries;1_StaatVDS;Environmental
4;967;RMI;RMI;Economic Capital;Non-Energy Resources;Resources;Elsewhere;Strategic;Resource Flow;Mass;;Within Planetary Boundaries;3_ACM;Economic
62;968;Sustainable jobs rate;Employment rate in sustainability jobs ;Quality of Life;Labour;Distribution-Labour-;Here and now, Later;;Value Creation ;People;;Within Planetary Boundaries;1_StaatVDS;Economic
28;969;Waste separation rate;Waste separation rate;Natural Capital;Non-Energy Resources;Waste;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;2_BWMRA;Environmental
132;970;Number of trees replaced annually for safety reasons.;Number of trees replaced annually for safety reasons.;Quality of Life;Safety;Safety;Here and now, Later;;;;City;Within Planetary Boundaries;10_DBoom;Social
30;971;Env. problems;Environmental problems;Natural Capital;Climate;GHG emissions;Here and now, Later;;Adverse Outcome;Population;;Within Planetary Boundaries;6_RMBW;Environmental
54;972;Non-renewable material use;Total amount of new non-renewable material use in Amsterdam;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
8;973;Share unknown;Share unknown;Natural Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Tactical;Resource Flow;Mass;;Within Planetary Boundaries;3_ACM;Environmental
77;974;Raw agricultural products;Consumption of raw agricultural products and live animals;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Within Planetary Boundaries;1_StaatVDS;Environmental
95;975;Amount of green and trees;Amount of green and trees;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now, Later;;;;;Within Planetary Boundaries;9_SDGs;Environmental
101;976;Materials transport modes Energy;Materials per mode of transport - Energy;Natural Capital;Non-Energy Resources;Consumption;Here and now;;Resource Flow;Mass;City;Within Planetary Boundaries;1_StaatVDS;Environmental
25;977;Managed nature;Managed nature in NNN;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now, Later;Tactical;System Condition;Lenght;;Within Planetary Boundaries;6_RMBW;Environmental
79;978;Household waste categories;Household waste per categorie;Natural Capital;Non-Energy Resources;Waste;Here and now;;Resource Flow;Mass;City;Within Planetary Boundaries;1_StaatVDS;Environmental
266;979;Rating of school garden program by teachers;Rating of school garden program by teachers;Human Capital;Education;Knowledge of sustainable development;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Economic
106;980;Installed capacity wind energy;Installed capacity wind energy;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Within Planetary Boundaries;9_SDGs;Environmental
131;981;Rating scores residents for maintenance of neighborhood green space ;Rating scores residents for maintenance of neighborhood green space ;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Social
59;982;Investment decision gas free home;Number of housing equivalents for which an investment decision to become natural gas-free was made in the year in question with WAM approach;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
83;983;Share of cab exemption holders relative to number of unique cab vehicles measured;Share of cab exemption holders relative to number of unique cab vehicles measured;Quality of Life;Transport;Transport;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Social
22;984;Willing invest energy measures;Willing to invest in energy measures;Quality of Life;Housing;Investments in housing;Here and Now, Elsewhere;;Value Creation ;Units;City;Within Planetary Boundaries;1_StaatVDS;Social
34;985;Renewable electricity;Renewable electricity;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;;;;Within Planetary Boundaries;11_BBV;Environmental
7;986;VvE homes;VvE homes;Quality of Life;Housing;Investments in housing;Here and now;;Value Creation ;Population;City;Within Planetary Boundaries;7_Klimaat;Social
57;987;Import metals-LDC;Import metals from LDCs;Natural Capital;Non-Energy Resources;Imports;Elsewhere;;Resource Flow;Mass;;Within Planetary Boundaries;6_RMBW;Environmental
20;988;Energy efficiency houses;Energy efficiency (energy label);Quality of Life;Housing;Quality of housing;Here and now, Later, Elsewhere;;Value Creation ;Units;Neighborhood;Within Planetary Boundaries;1_StaatVDS;Social
10;989;Social buildings;Social buildings;Economic Capital;Physical Capital;Capital stock;Here and now;;Value Creation ;Population;City;Within Planetary Boundaries;7_Klimaat;Economic
20;990;CO2 emissions - Electricity;CO2 emissions - Electricity;Natural Capital;Climate;GHG emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;City;Within Planetary Boundaries;7_Klimaat;Environmental
26;991;Quality bathing inland water ;Quality of bathing water in inland waters;Natural Capital;Water;Water quality;Here and now, Later;Strategic;System Condition;Index;;Within Planetary Boundaries;6_RMBW;Environmental
17;992;Shared cars NL;Shared cars in the Netherlands;Quality of Life;Transport;Transport;Here and now;;;Population;City;Within Planetary Boundaries;7_Klimaat;Social
44;993;Household residual waste;Household residual waste;Natural Capital;Non-Energy Resources;Waste;Here and now, Later;;Adverse Outcome;Mass;City;Within Planetary Boundaries;5_EVMRA;Environmental
91;994;Concern about nature and climate;Concern about nature and climate;Quality of Life;Social Connections;Generalised trust;Here and Now, Elsewhere;;;;;Within Planetary Boundaries;9_SDGs;Social
14;995;Charging points;Charging points;Economic Capital;Physical Capital;Capital stock;Here and now, Later, Elsewhere;;Value Creation ;Population;City;Within Planetary Boundaries;7_Klimaat;Economic
89;996;Groundwater;Groundwater level;Natural Capital;Water;Resources;Here and now, Later;;Resource Flow;Volume;Neighborhood;Within Planetary Boundaries;1_StaatVDS;Environmental
13;997;Electric driving;Electric driving;Quality of Life;Transport;Transport;Here and now, Later, Elsewhere;;Value Creation ;Lenght;City;Within Planetary Boundaries;7_Klimaat;Social
7;998;Number of environmental permit applications reviewed for compliance with reasonable standards of appearance and monument policy;Number of environmental permit applications reviewed for compliance with reasonable standards of appearance and monument policy;Quality of Life;Institutional;Law;Here and now, Later;;;;City;Within Planetary Boundaries;10_DBoom;Social
110;999;Nature and forest area;Nature and forest area;Natural Capital;Land and Ecosystems;Forest;Here and now, Later;;;;;Within Planetary Boundaries;9_SDGs;Environmental
12;1000;New construction-Tender;New construction-Tender;Economic Capital;Physical Capital;Capital stock;Here and now;;Value Creation ;Index;City;Within Planetary Boundaries;7_Klimaat;Economic
27;1001;Water supply;Water supply;Natural Capital;Water;Resources;Here and now, Later;Tactical;Value Creation ;Volume;City;Within Planetary Boundaries;4_Stadsdonut;Environmental
130;1002;Rating rating visit Amsterdam Forest;Rating rating visit Amsterdam Forest;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Social
71;1003;Raw minerals build materials;Consumption of raw raw minerals and building materials;Natural Capital;Non-Energy Resources;Consumption;Here and now, Later, Elsewhere;;Resource Flow;Mass;;Within Planetary Boundaries;1_StaatVDS;Environmental
119;1004;Extent of overdue maintenance (water);Extent of overdue maintenance (water);Economic Capital;Physical Capital;Infrastructure;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Economic
56;1005;Solar capacity;Total installed capacity (in MW) of solar energy on Amsterdam territory;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
42;1006;Cumulative CO2 emissions;Cumulative CO2-emissions;Natural Capital;Climate;Historical CO2- emissions;Here and now, Later, Elsewhere;;Adverse Outcome;Mass;;Within Planetary Boundaries;6_RMBW;Environmental
67;1007;Installed wind turbines;Total installed capacity of wind turbines;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Electric current;;Within Planetary Boundaries;1_StaatVDS;Environmental
30;1008;Land support biodiversity;Land support biodiversity;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now, Later;Tactical;Value Creation ;Lenght;City;Within Planetary Boundaries;4_Stadsdonut;Environmental
43;1009;Renewable energy;Renewable energy;Natural Capital;Energy Resources;Renewable energy;Here and now, Later;;Resource Flow;Electric current;City;Within Planetary Boundaries;5_EVMRA;Environmental
65;1010;Sustainable energy measures taken by companies;Sustainable energy measures taken by companies;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Value Creation ;Units;;Within Planetary Boundaries;1_StaatVDS;Environmental
2;1011;DMC;DMC;Economic Capital;Non-Energy Resources;Resources;Here and Now, Elsewhere;Strategic;Resource Flow;Mass;;Within Planetary Boundaries;3_ACM;Economic
3;1012;Gas free-Kickoff;Natural gas free-Kickoff;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;Resource Flow;Population;Neighborhood;Within Planetary Boundaries;7_Klimaat;Environmental
60;1013;Total number gas free homes;Total number of housing equivalents natural gas-free;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
22;1014;Port Storage Capacity;Port Storage Capacity;Economic Capital;Physical Capital;Capital stock;Here and now;;;Volume;City;Within Planetary Boundaries;7_Klimaat;Economic
86;1015;Amount of green roofs;Total amount of green roofs;Natural Capital;Land and Ecosystems;Land use;Here and now, Later;;Value Creation ;Units;Neighborhood;Within Planetary Boundaries;1_StaatVDS;Environmental
54;1016;Import fossil energy;Import of fossil energy carriers;Natural Capital;Energy Resources;Energy dependency;Elsewhere;;Resource Flow;Mass;;Within Planetary Boundaries;6_RMBW;Environmental
93;1017;Green space per home;Green space per home;Natural Capital;Land and Ecosystems;Land use;Here and now;;;;;Within Planetary Boundaries;9_SDGs;Environmental
135;1018;Number of m2 of land whose furnishings have been transformed for subsequent ecological management, as realized within the replacement program.;Number of m2 of land whose furnishings have been transformed for subsequent ecological management, as realized within the replacement program.;Natural Capital;Land and Ecosystems;Land use;Here and now, Later, Elsewhere;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
67;1019;"Satisfaction with bicycle parking
";"Satisfaction with bicycle parking
";Quality of Life;Transport;Subjective-Mobility;Here and now, Later;;;;City;Within Planetary Boundaries;10_DBoom;Social
8;1020;Corporate market-gen.;Corporate market-general;Economic Capital;Physical Capital;Capital stock;Here and now;;Value Creation ;Population;City;Within Planetary Boundaries;7_Klimaat;Economic
28;1021;Nitrogen deposition;Nitrogen deposition and land nature;Natural Capital;Land and Ecosystems;Soil quality;Here and now, Later;;Adverse Outcome;Amount substance;;Within Planetary Boundaries;6_RMBW;Environmental
43;1022;Water Overfishing;Water Overfishing;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now, Later, Elsewhere;Tactical;Adverse Outcome;Mass;National;Within Planetary Boundaries;4_Stadsdonut;Environmental
29;1023;Electricity network;Electricity network;Economic Capital;Physical Capital;Capital stock;Here and now;;System Condition;Electric current;City;Within Planetary Boundaries;7_Klimaat;Economic
85;1024;Material consumption;Material consumption;Natural Capital;Non-Energy Resources;Consumption;Here and Now, Elsewhere;;;;;Within Planetary Boundaries;9_SDGs;Environmental
28;1025;Water carbon storage;Water carbon storage;Natural Capital;Climate;Historical CO2- emissions;Here and now, Later, Elsewhere;;Value Creation ;Mass;;Within Planetary Boundaries;4_Stadsdonut;Environmental
102;1026;Shared cars;Shared cars;Quality of Life;Transport;Transport;Here and now;;;;;Within Planetary Boundaries;9_SDGs;Social
17;1027;Planned gas free neigh.;Planned gas free neighbourhoods;Natural Capital;Energy Resources;Renewable energy;Here and now, Later, Elsewhere;Project outcome;Resource Flow;People;Neighborhood;Within Planetary Boundaries;4_Stadsdonut;Environmental
103;1028;Electric vehicles;Electric vehicles;Quality of Life;Transport;Transport;Here and now, Later;;;;;Within Planetary Boundaries;9_SDGs;Social
66;1029;Number of car kilometers driven in Amsterdam;Number of car kilometers driven in Amsterdam;Quality of Life;Transport;Transport;Here and now, Later;;;;City;Within Planetary Boundaries;10_DBoom;Social
97;1030;Bicycle use;Bicycle use;Quality of Life;Transport;Transport;Here and now;;Value Creation ;Units;City;Within Planetary Boundaries;1_StaatVDS;Social
90;1031;Flora and Fauna ;Status flora and fauna ;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now, Later;;System Condition;Index;City;Within Planetary Boundaries;1_StaatVDS;Environmental
80;1032;Increase in citywide average load factor of vans and trucks;Increase in citywide average load factor of vans and trucks;Quality of Life;Transport;Transport;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Social
63;1033;Sustainable jobs;Sustainable jobs;Quality of Life;Labour;Distribution-Labour-;Here and now, Later;;Value Creation ;Units;;Within Planetary Boundaries;1_StaatVDS;Economic
29;1034;Land erosion protection;Land erosion protection;Natural Capital;Land and Ecosystems;Land;Here and now, Later;Tactical;Value Creation ;Volume;National;Within Planetary Boundaries;4_Stadsdonut;Environmental
102;1035;The maintenance of the streets and sidewalks in your neighborhood is rated by residents at 6.5;The maintenance of the streets and sidewalks in your neighborhood is rated by residents at 6.5;Quality of Life;Subjective Well-Being;Satisfaction built-enviroment;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Social
133;1036;Number of m2 of Japanese knotweed controlled annually.;Number of m2 of Japanese knotweed controlled annually.;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now, Later;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
95;1037;Use commercial shared cars;Use commercial shared cars;Quality of Life;Transport;Transport;Here and now;;;;City;Within Planetary Boundaries;1_StaatVDS;Social
82;1038;Distance to green;Distance to green;Natural Capital;Land and Ecosystems;Land use;Here and now;;;;;Within Planetary Boundaries;9_SDGs;Environmental
87;1039;Surface area green roofs;Surface area green roofs;Natural Capital;Land and Ecosystems;Land use;Here and now, Later;;;;Neighborhood;Within Planetary Boundaries;1_StaatVDS;Environmental
92;1040;Daily trips;daily trips;Quality of Life;Transport;Transport;Here and now;;System Condition;Units;City;Within Planetary Boundaries;1_StaatVDS;Social
99;1041;satisfaction biking ;satisfaction with biking in the city;Quality of Life;Transport;Transport;Here and now;;;;City;Within Planetary Boundaries;1_StaatVDS;Social
144;1042;Quantity of m3 of drinking water supplied;Quantity of m3 of drinking water supplied;Quality of Life;Water;Consumption;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
52;1043;Land intake North sea;Land intake - North sea;Natural Capital;Land and Ecosystems;Footprint;Here and now, Later;Strategic;Value Creation ;Lenght;City;Within Planetary Boundaries;5_EVMRA;Environmental
100;1044;Bike parking capacity ;Bicycle parking capacity ;Quality of Life;Transport;Transport;Here and now;;System Condition;Index;Neighborhood;Within Planetary Boundaries;1_StaatVDS;Social
25;1045;Energy poverty;Energy poverty;Quality of Life;Consumption and Income;Distribution-Income- Total;Here and now;;Adverse Outcome;Population;City;Within Planetary Boundaries;7_Klimaat;Economic
5;1046;RMC;RMC;Economic Capital;Non-Energy Resources;Resources;Elsewhere;Strategic;Resource Flow;Mass;;Within Planetary Boundaries;3_ACM;Economic
224;1047;Number of sports parks with an NL Greenlabel of at least C for ecological management and promotion of biodiversity at the sports parks;Number of sports parks with an NL Greenlabel of at least C for ecological management and promotion of biodiversity at the sports parks;Natural Capital;Energy Resources;Consumption;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
82;1048;Number of measured unique cab vehicles around the S100 during weekend nights;Number of measured unique cab vehicles around the S100 during weekend nights;Quality of Life;Transport;Transport;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Social
39;1049;Fauna land;Fauna of the land;Natural Capital;Land and Ecosystems;Species/Ecosystems;Here and now, Later;;System Condition;Index;;Within Planetary Boundaries;6_RMBW;Environmental
62;1050;Land footprint;Land footprint;Natural Capital;Land and Ecosystems;Footprint;Elsewhere;;Adverse Outcome;Mass;;Within Planetary Boundaries;6_RMBW;Environmental
223;1051;Reduction of energy consumption sports facilities;Energy consumption in m3 natural gas, (incl. GJ heat in m3 gas and corrected to degree days) and kWh electricity (incl. generation) of our municipal sports facilities -connections. % decrease compared to base year;Natural Capital;Energy Resources;Consumption;Here and now, Later;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
9;1052;Corporate market-energy;Corporate market-energy;Economic Capital;Physical Capital;Capital stock;Here and now;;Value Creation ;Population;City;Within Planetary Boundaries;7_Klimaat;Economic
94;1053;Green space per capita;Green space per capita;Natural Capital;Land and Ecosystems;Land use;Here and now;;;;;Within Planetary Boundaries;9_SDGs;Environmental
23;1054;Energy cost;Energy cost;Quality of Life;Housing;Housing affordability;Here and Now, Elsewhere;;Resource Flow;Units;Neighborhood;Within Planetary Boundaries;1_StaatVDS;Social
78;1055;Household waste;Total household waste per inhabitant;Natural Capital;Non-Energy Resources;Waste;Here and now;;Resource Flow;Mass;;Within Planetary Boundaries;1_StaatVDS;Environmental
81;1056;Percentage of emission-free cabs;Percentage of emission-free cabs;Quality of Life;Transport;Transport;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Social
27;1057;Sustainable jobs;Sustainable jobs;Quality of Life;Labour;Distribution-Labour-;Here and now, Later;;Value Creation ;Population;City;Within Planetary Boundaries;7_Klimaat;Economic
21;1058;Houses with solar panels;Houses with solar panels;Quality of Life;Housing;Quality of housing;Here and Now, Elsewhere;;Value Creation ;Units;City;Within Planetary Boundaries;1_StaatVDS;Social
145;1059;Customer satisfaction drinking water customers;Customer satisfaction drinking water customers;Quality of Life;Water;Water quality;Here and now;;;;City;Within Planetary Boundaries;10_DBoom;Environmental
55;1060;Sports activities;Sports - Sports activities;Quality of Life;Work Life Balance;Cultural;Here and now;;System Condition;Units;Neighborhood;Collective City;1_StaatVDS;Social
194;1061;Visits entertainment;Visits entertainment;Quality of Life;Work Life Balance;Cultural;Here and now;;System Condition;People;Neighborhood;Collective City;1_StaatVDS;Social
48;1062;Leisure Entertainment;Leisure activities - Type entertainment;Quality of Life;Work Life Balance;Time use;Here and now;;System Condition;Units;Neighborhood;Collective City;1_StaatVDS;Social
203;1063;Social media usage;Social media usage;Quality of Life;Work Life Balance;Time use;Here and now;;System Condition;People;City;Collective City;1_StaatVDS;Social
12;1064;Satisfaction leisure;Satisfaction with leisure;Quality of Life;Work Life Balance;Time use;Here and now;Strategic;Value Creation ;Population;;Collective City;6_RMBW;Social
